tamano,n_habitaciones,y
94.0,2.0,11.702127659574469
105.0,3.0,10.476190476190476
70.0,3.0,10.0
85.0,3.0,7.647058823529412
70.0,1.0,6.428571428571429
80.0,2.0,8.75
76.0,2.0,7.894736842105263
69.0,3.0,8.405797101449275
91.0,3.0,6.593406593406593
45.0,1.0,66.66666666666667
95.0,2.0,8.947368421052632
90.0,3.0,5.333333333333333
30.0,1.0,15.333333333333334
74.0,2.0,10.81081081081081
100.0,3.0,5.5
100.0,3.0,9.5
83.0,2.0,8.433734939759036
90.0,3.0,8.333333333333334
114.0,3.0,7.807017543859649
105.0,2.0,6.666666666666667
120.0,3.0,5.833333333333333
80.0,4.0,9.0
80.0,2.0,8.3125
90.0,3.0,9.222222222222221
71.0,2.0,13.80281690140845
90.0,2.0,7.777777777777778
100.0,3.0,11.0
75.0,2.0,9.333333333333334
95.0,2.0,10.473684210526315
65.0,1.0,10.76923076923077
92.0,3.0,7.5
85.0,2.0,8.529411764705882
45.0,1.0,12.777777777777779
52.0,2.0,12.5
110.0,3.0,5.681818181818182
64.0,2.0,7.03125
98.0,3.0,5.612244897959184
100.0,2.0,6.15
130.0,4.0,4.230769230769231
70.0,3.0,10.714285714285714
137.0,3.0,5.693430656934306
80.0,2.0,9.375
115.0,2.0,8.478260869565217
102.0,2.0,7.647058823529412
90.0,2.0,9.222222222222221
55.0,2.0,10.0
83.0,3.0,9.939759036144578
90.0,3.0,10.0
80.0,2.0,10.0
107.0,2.0,7.4766355140186915
90.0,2.0,6.944444444444445
100.0,3.0,8.0
35.0,1.0,11.142857142857142
180.0,7.0,6.666666666666667
100.0,3.0,9.0
95.0,3.0,9.473684210526315
50.0,1.0,14.0
75.0,2.0,6.266666666666667
85.0,3.0,7.647058823529412
70.0,2.0,10.0
88.0,3.0,6.818181818181818
75.0,1.0,9.066666666666666
81.0,2.0,11.728395061728396
65.0,2.0,9.23076923076923
100.0,3.0,9.0
75.0,2.0,12.0
85.0,3.0,10.588235294117647
68.0,1.0,11.029411764705882
75.0,3.0,9.2
111.0,4.0,16.216216216216218
125.0,5.0,7.2
79.0,3.0,6.2025316455696204
72.0,2.0,9.722222222222221
88.0,3.0,8.522727272727273
35.0,1.0,19.142857142857142
80.0,3.0,6.25
68.0,2.0,8.823529411764707
69.0,2.0,7.536231884057971
82.0,3.0,7.317073170731708
67.0,2.0,6.7164179104477615
80.0,3.0,12.375
68.0,2.0,8.823529411764707
88.0,3.0,7.954545454545454
95.0,4.0,7.684210526315789
82.0,3.0,6.097560975609756
92.0,4.0,9.23913043478261
52.0,2.0,8.076923076923077
91.0,2.0,7.6923076923076925
78.0,3.0,7.6923076923076925
80.0,3.0,7.5
43.0,1.0,10.465116279069768
83.0,3.0,6.626506024096385
65.0,3.0,10.76923076923077
75.0,3.0,9.333333333333334
100.0,3.0,8.0
85.0,3.0,8.235294117647058
50.0,1.0,11.0
75.0,3.0,8.0
80.0,3.0,9.375
70.0,3.0,10.0
115.0,3.0,4.782608695652174
70.0,2.0,9.285714285714286
84.0,3.0,6.5476190476190474
82.0,3.0,8.536585365853659
56.0,1.0,10.714285714285714
62.0,2.0,10.96774193548387
90.0,3.0,8.333333333333334
78.0,3.0,6.410256410256411
74.0,2.0,8.108108108108109
72.0,2.0,8.333333333333334
90.0,4.0,10.555555555555555
65.0,3.0,11.538461538461538
84.0,3.0,6.5476190476190474
100.0,3.0,9.0
55.0,1.0,10.0
84.0,3.0,10.238095238095237
118.0,3.0,7.627118644067797
75.0,3.0,7.933333333333334
84.0,2.0,10.119047619047619
112.0,3.0,8.928571428571429
40.0,2.0,15.0
60.0,2.0,10.833333333333334
